Change Physical Footprint: Designator=ANT1 Old Footprint=ANT_2450AT18B100E New Footprint=ANT_2450AT18B100E
Change Physical Footprint: Designator=C1 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C2 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C3 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C4 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C5 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C6 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C7 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C8 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C9 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C10 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C11 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C12 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C13 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C14 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C15 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C16 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C17 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C18 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C19 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C20 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C21 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C22 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C23 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C24 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C25 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C26 Old Footprint=0603 New Footprint=0603
Change Physical Footprint: Designator=C27 Old Footprint=0603 New Footprint=0603
Change Physical Footprint: Designator=C28 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=C29 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=C30 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=D1 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=D2 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=D3 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=FB1 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=IPD1 Old Footprint=IPD New Footprint=IPD
Change Physical Footprint: Designator=J1 Old Footprint=USB4135GFA New Footprint=USB4135GFA
Change Physical Footprint: Designator=L1 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=L2 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=L3 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=L4 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R1 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R2 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R3 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R4 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R5 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R6 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R7 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R8 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R9 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R10 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R11 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R12 Old Footprint=0603 New Footprint=0603
Change Physical Footprint: Designator=R13 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R14 Old Footprint=0603 New Footprint=0603
Change Physical Footprint: Designator=R15 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R16 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R17 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R18 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R19 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R20 Old Footprint=0805 New Footprint=0805
Change Physical Footprint: Designator=R21 Old Footprint=TH NTC New Footprint=TH NTC
Change Physical Footprint: Designator=S1 Old Footprint=SOP400P1000X525-4N New Footprint=SOP400P1000X525-4N
Change Physical Footprint: Designator=U1 Old Footprint=MSOP New Footprint=MSOP
Change Physical Footprint: Designator=U2 Old Footprint=MSOP New Footprint=MSOP
Change Physical Footprint: Designator=U3 Old Footprint=STM32 New Footprint=STM32
Change Physical Footprint: Designator=U4 Old Footprint=WSON-10 New Footprint=WSON-10
Change Physical Footprint: Designator=U5 Old Footprint=SOT23 5pin New Footprint=SOT23 5pin
Change Physical Footprint: Designator=U6 Old Footprint=SOT23 5pin New Footprint=SOT23 5pin
Change Physical Footprint: Designator=X1 Old Footprint=SMA New Footprint=SMA
Change Physical Footprint: Designator=X2 Old Footprint=HEADER 1X4 New Footprint=HEADER 1X4
Change Physical Footprint: Designator=X3 Old Footprint=BATTERY New Footprint=BATTERY
Change Physical Footprint: Designator=Y1 Old Footprint=NX2016_4P New Footprint=NX2016_4P
Change Physical Footprint: Designator=Y2 Old Footprint=0805 New Footprint=0805
