Replace Symbol from  TEST_POINT in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with TEST_POINT from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C9 MCJCU21GBB7104KTPA01 in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C10 08052U150JAT2A in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with 08052U150JAT2A from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C11 08052U150JAT2A in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with 08052U150JAT2A from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C12 581-THJB106K016SJN in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with 581-THJB106K016SJN from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C13 MCJCU21GBB7104KTPA01 in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C14 MCJCU21GBB7104KTPA01 in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C15 MCJCU21GBB7104KTPA01 in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C16 MCJCU21GBB7104KTPA01 in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C17 MCJCU21GBB7104KTPA01 in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C18 CGA4J1X7R1H475K125AC in C:\FER\3godina\6sem\zavrsni\IBC_prijamnik_VB\STM32.SchDoc with CGA4J1X7R1H475K125AC from DZ1_Bruncic_Vito.SchLib
