Change Component Parameter Description in C9 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C13 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C14 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C15 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C16 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C17 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C19 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C20 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 100VDC 100pF 2% C0G AEC-Q200 New=Kondenzator, C0G, 2%, 100VDC
Change Component Parameter Description in C21 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C29 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in C30 Old=Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10% AEC-Q200 New=Kondenzator, X7R, 10%, 50VDC
Change Component Parameter Description in D1 Old=Reel / LED, SMD, 0805, 2 Leads, Green, Water Clear Lens, 130 Deg Viewing Angle, Low Current New=Dioda, svjetleca, 1,9V
Change Component Parameter Description in R8 Old=YAGEO - RC0805JR-0710KL - RES, 10K, 5%, 0.125W, 0805, THICK FILM New=Otpornik, 5%, 125mW
Change Component Parameter Description in R16 Old=Thin Film Resistors - SMD 1.5K ohm 1% 50 ppm Thin Film New=Otpornik, ±50ppm/C, 100mW
Change Component Parameter Description in R17 Old=Thick Film Resistors - SMD 1/8 Watt ZEROohm Jumper New=Otpornik, 1%, 125mW
Change Component Parameter Description in R18 Old=Thick Film Resistors - SMD 1/8 Watt ZEROohm Jumper New=Otpornik, 1%, 125mW
Change Component Parameter Description in R19 Old=Thick Film Resistors - SMD 1/8 Watt ZEROohm Jumper New=Otpornik, 1%, 125mW
Change Component Parameter Description in Y1 Old=Crystal 32MHZ 6PF SMD New=Kristalni oscilator 32KHz
Change Component Parameter Description in Y2 Old=Crystals CRYSTAL 32.768KHZ 12.5PF SMD New=Kristalni oscilator, 32.768KHz
Replace Symbol from C9 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C13 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C14 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C15 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C16 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C17 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C19 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C20 GCM1555C2A101GE02D in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with GCM1555C2A101GE02D from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C21 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C29 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from C30 MCJCU21GBB7104KTPA01 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCJCU21GBB7104KTPA01 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from D1 SM0805GCL in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with SM0805GCL from DZ1_Bruncic_Vito.SchLib
Replace Symbol from R8 RC0805JR-0710KL in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with RC0805JR-0710KL from DZ1_Bruncic_Vito.SchLib
Replace Symbol from R16 MCU08050C1501FP5 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with MCU08050C1501FP5 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from R17 CRCW06030000Z0EA in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with CRCW06030000Z0EA from DZ1_Bruncic_Vito.SchLib
Replace Symbol from R18 CRCW06030000Z0EA in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with CRCW06030000Z0EA from DZ1_Bruncic_Vito.SchLib
Replace Symbol from R19 CRCW06030000Z0EA in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with CRCW06030000Z0EA from DZ1_Bruncic_Vito.SchLib
Replace Symbol from Y1 NX2012SA32768K1 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with NX2012SA32768K1 from DZ1_Bruncic_Vito.SchLib
Replace Symbol from Y2 NX2012SA-32.768K-STD-MUB-1 in C:\FER\3. godina\6. sem\ZAVRŠNI\IBC_prijamnik_VB\STM32.SchDoc with NX2012SA-32.768K-STD-MUB-1 from DZ1_Bruncic_Vito.SchLib
