Altium Designer Pick and Place Locations
C:\Users\marin.sinozic\Desktop\verzija_za_Latex\Transmitter_project\Project Outputs for Transmitter\BOM_top-bottom\Pick Place for Odasiljac_v1.txt

========================================================================================================================
File Design Information:

Date:       04/02/22
Time:       20:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Layer       Comment          Footprint                     Description                                                                         
C69        BottomLayer 100n             0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
R14        BottomLayer 1M               0603                          "RES 1M OHM 1% 1/10W 0603"                                                          
C65        BottomLayer 2n2              0603                          "CAP CER 0603 2.2NF 16V X7R 10%"                                                    
C38        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C45        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C40        BottomLayer 1u               0805                          "CAP CER 1UF 25V X5R 0805"                                                          
C39        BottomLayer 10u              0805                          "CAP TANT 10UF 20% 10V 0805"                                                        
R15        BottomLayer 1M               0603                          "RES 1M OHM 1% 1/10W 0603"                                                          
R13        BottomLayer 1M               0603                          "RES 1M OHM 1% 1/10W 0603"                                                          
R12        BottomLayer 1M               0603                          "RES 1M OHM 1% 1/10W 0603"                                                          
C66        BottomLayer 2n2              0603                          "CAP CER 0603 2.2NF 16V X7R 10%"                                                    
C64        BottomLayer 2n2              0603                          "CAP CER 0603 2.2NF 16V X7R 10%"                                                    
C63        BottomLayer 2n2              0603                          "CAP CER 0603 2.2NF 16V X7R 10%"                                                    
R7         BottomLayer 10K              0603                          "RES SMD 10K OHM 0.5% 1/5W 0603"                                                    
R6         BottomLayer 49.9             0805                          "RES SMD 49.9 OHM 0.1% 1/10W 0603"                                                  
R5         BottomLayer 49.9             0805                          "RES SMD 49.9 OHM 0.1% 1/10W 0603"                                                  
R4         BottomLayer 10K              0603                          "RES SMD 10K OHM 0.5% 1/5W 0603"                                                    
FB5        BottomLayer BLM18PG121SN1D   0603                          "FERRITE BEAD 120 OHM 0603 1LN"                                                     
FB4        BottomLayer BLM18PG121SN1D   0603                          "FERRITE BEAD 120 OHM 0603 1LN"                                                     
FB3        BottomLayer BLM18PG121SN1D   0603                          "FERRITE BEAD 120 OHM 0603 1LN"                                                     
FB2        BottomLayer BLM18PG121SN1D   0603                          "FERRITE BEAD 120 OHM 0603 1LN"                                                     
FB1        BottomLayer BLM18PG121SN1D   0603                          "FERRITE BEAD 120 OHM 0603 1LN"                                                     
FB6        BottomLayer MH1608-601Y      0603                          "FERRITE BEAD 600 OHM 0603 1LN"                                                     
C52        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C51        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C50        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C49        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C48        BottomLayer 1u               0805                          "CAP CER 1UF 25V X5R 0805"                                                          
C47        BottomLayer 10u              0805                          "CAP TANT 10UF 20% 10V 0805"                                                        
C46        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C44        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C43        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C42        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C41        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C37        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C36        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C35        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C34        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C33        BottomLayer 1u               0805                          "CAP CER 1UF 25V X5R 0805"                                                          
C32        BottomLayer 10u              0805                          "CAP TANT 10UF 20% 10V 0805"                                                        
C31        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C30        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C29        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C28        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C27        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C26        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C25        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C24        BottomLayer 1u               0805                          "CAP CER 1UF 25V X5R 0805"                                                          
C23        BottomLayer 10u              0805                          "CAP TANT 10UF 20% 10V 0805"                                                        
C19        BottomLayer 100p             0603                          "CAP CER 100PF 50V X7R 0603"                                                        
C18        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C17        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C15        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C11        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C10        BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C9         BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C8         BottomLayer 100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
REF        TopLayer    "Test point 1mm" TP                            Test_Point                                                                          
GND        TopLayer    "Test point 1mm" TP                            Test_Point                                                                          
3V3        TopLayer    3V3              TP                            Test_Point                                                                          
R17        TopLayer    TBD              0603                          "RES SMD 0 OHM JUMPER 1/3W 0603"                                                    
C68        TopLayer    22p              0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
C67        TopLayer    680p             0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
SYNC       TopLayer    "Test point 1mm" TP                            Test_Point                                                                          
R16        TopLayer    49.9             0805                          "RES SMD 49.9 OHM 0.1% 1/10W 0603"                                                  
D2         TopLayer    150060VS75000    0603                          "LED GREEN DIFFUSED 0603 SMD"                                                       
U2         TopLayer    AD9910           TSQFP50P1600X1600X105_HS-101N "ANALOG DEVICES - AD9910BSVZ - Direct Digital Synthesizer, 1 GSPS. 14 Bit, 3.3 V,"  
H4         TopLayer    Hole_Mount       HoleMount                     ""                                                                                  
H3         TopLayer    Hole_Mount       HoleMount                     ""                                                                                  
H2         TopLayer    Hole_Mount       HoleMount                     ""                                                                                  
H1         TopLayer    Hole_Mount       HoleMount                     ""                                                                                  
1V8        TopLayer    "Test point 1mm" TP                            Test_Point                                                                          
VBAT       TopLayer    VBAT             TP                            Test_Point                                                                          
X3         TopLayer    "Header 3"       HDR1X3                        "Header, 3-Pin"                                                                     
X4         TopLayer    931-1360-ND      SMA                           "CONN RP-SMA JACK R/A 50 OHM PCB"                                                   
T1         TopLayer    CX2041NL         RF_TRANSF                     "BALUN 50KHZ-450MHZ 75/75 5SMD"                                                     
S1         TopLayer    KMR231GLFS       SW-PB_SMD_KMR2                "Switch Tactile N.O. SPST Button Gull Wing 0.05A 32VDC 1VA 150000Cycles 3N SMD T/R" 
R9         TopLayer    49.9             0805                          "RES SMD 49.9 OHM 0.1% 1/10W 0603"                                                  
R10        TopLayer    49.9             0805                          "RES SMD 49.9 OHM 0.1% 1/10W 0603"                                                  
W1         TopLayer    0R               0603                          "RES SMD 0 OHM JUMPER 1/3W 0603"                                                    
R8         TopLayer    49.9             0805                          "RES SMD 49.9 OHM 0.1% 1/10W 0603"                                                  
R3         TopLayer    63.4             0603                          "RES SMD 63.4 OHM 0.1% 1/10W 0603"                                                  
R2         TopLayer    100K             0603                          "RES 100 KOHMS 0.5% 1/10W 0603"                                                     
R1         TopLayer    10K              0603                          "RES SMD 10K OHM 0.5% 1/5W 0603"                                                    
Y3         TopLayer    25MHz            XTAL_ECS-196-S-23A-TR         "Crystal 25.0MHZ 20PF SMD"                                                          
Y2         TopLayer    32MHz            NX2016_4P                     "Crystal 32.0MHZ 10PF SMD Esr 60"                                                   
Y1         TopLayer    32.768kHz        NX2012_2P                     "NDK 32.76kHz Crystal Unit ±20ppm SMD 2-Pin 2.05 x 1.2 x 0.55mm"                    
X2         TopLayer    "Header 3"       HDR1X3                        "Header, 3-Pin"                                                                     
X1         TopLayer    "Header 2H"      HDR1X2                        "Header, 2-Pin, Right Angle"                                                        
D1         TopLayer    150060VS75000    0603                          "LED GREEN DIFFUSED 0603 SMD"                                                       
L9         TopLayer    24n              0603                          "FIXED IND 24NH 500MA 210MOHM SMD"                                                  
L8         TopLayer    30n              0603                          "FIXED IND 30NH 600MA 144MOHM SMD"                                                  
L7         TopLayer    24n              0603                          "FIXED IND 24NH 500MA 210MOHM SMD"                                                  
L6         TopLayer    2n7              0402                          "FIXED IND 2.7NH 300MA 170MOHM SM"                                                  
L5         TopLayer    3n3              0402                          "FIXED IND 3.3NH 300MA 190MOHM SM"                                                  
L4         TopLayer    10u              0805                          "FIXED IND 10UH 100MA 780MOHM SMD"                                                  
L3         TopLayer    10n              0603                          "FIXED IND 10NH 600MA 200MOHM SMD"                                                  
L2         TopLayer    2u2              INDP2929X15N                  "FIXED IND 2.2UH 1.22A 78MOHM SMD"                                                  
L1         TopLayer    10u              IND_10uH                      "FIXED IND 10UH 550MA 210MOHM SMD"                                                  
F1         TopLayer    "1.5 A"          MF-USMF075-2                  "PTC RESET FUSE 6V 750MA 1210"                                                      
U1         TopLayer    STM32WB55RGV6    VFQFPN69                      "MCU 32-Bit STM32WB55 ARM Cortex M4 RISC 1MB Flash 1.7V to 3.6V 68-Pin VFQFPN Tray" 
C62        TopLayer    3p3              0603                          "CAP CER 3.3PF 50V C0G/NPO 0603"                                                    
C61        TopLayer    6p4              0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
C60        TopLayer    6p4              0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
C59        TopLayer    3p3              0603                          "CAP CER 3.3PF 50V C0G/NPO 0603"                                                    
C58        TopLayer    3p3              0603                          "CAP CER 3.3PF 50V C0G/NPO 0603"                                                    
C57        TopLayer    6p4              0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
C56        TopLayer    6p4              0603                          "CAP CER RF 6.4PF 50V +/-0.1 PF C"                                                  
C55        TopLayer    3p3              0603                          "CAP CER 3.3PF 50V C0G/NPO 0603"                                                    
C54        TopLayer    39p              0603                          "CAP CER 39PF 50V C0G/NP0 0603"                                                     
C53        TopLayer    39p              0603                          "CAP CER 39PF 50V C0G/NP0 0603"                                                     
C22        TopLayer    100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C21        TopLayer    10p              0603                          "CAP CER 10PF 50V X7R 0603"                                                         
C20        TopLayer    10p              0603                          "CAP CER 10PF 50V X7R 0603"                                                         
C16        TopLayer    1p2              0402                          "CAP CER 1.2PF 50V C0G/NP0 0402"                                                    
C14        TopLayer    4u7              0603                          "CAP CER 4.7UF 16V X5R 0603"                                                        
C13        TopLayer    4u7              0603                          "CAP CER 4.7UF 16V X5R 0603"                                                        
C12        TopLayer    100n             0603                          "CAP CER 0.1UF 50V X7R 0603"                                                        
C7         TopLayer    4n7              0603                          "CAP CER 4700PF 50V X7R 0603"                                                       
C6         TopLayer    4u7              0603                          "CAP CER 4.7UF 16V X5R 0603"                                                        
C5         TopLayer    2u2              0603                          "CAP CER 2.2UF 25V X5R 0603"                                                        
C4         TopLayer    10u              0603                          "CAP CER 10UF 25V X5R 0603"                                                         
C3         TopLayer    2n7              0603                          "CAP CER 2700PF 50V X7R 0603"                                                       
C2         TopLayer    1u               0805                          "CAP CER 1UF 25V X5R 0805"                                                          
C1         TopLayer    2u2              0603                          "CAP CER 2.2UF 25V X5R 0603"                                                        
A1         TopLayer    2450AT18B100E    ANT_2450AT18B100E             "RF ANT 2.4GHZ CHIP SOLDER SMD"                                                     
FL1        TopLayer    MLPF-WB55-01E3   CSP_BUMPLESS                  "RF Filter Low Pass 2400MHz to 2500MHz 1.1dB 50Ohm SMD 6Pin T/R"                    
U4         TopLayer    "STEP DOWN 1V8"  SC70P20X21                    "IC REG BUCK 1.8V 500MA SC70-6"                                                     
U3         TopLayer    "STEP DOWN 3V3"  SOT95P280X145-6N              "IC REG BUCK 3.3V 400MA SOT23-6"                                                    
